testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	token_zbk	testuingurua-ezker	testu-hitza	eskuin-testuingurua
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#215	5012	... — « Eia horrat , apart	adi	, nor uste duk nizala ? @ Horlako ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#229	5235	... ; klarki erran ezazu , @ ehork untsa	adi	zitzan nahi balin baduzu. » ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#277	5972	... nikek ala ene fedia ! @ Hitz gutitan	adi	ezak , nahi baduk , egia @ Hiretako ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#299	6551	... , ezein pausu gabia ; @ hartzaz orit	adi	eta dukek pazientzia . ...
adimendu	adimendu	adimendu	https://monumenta.wikibase.cloud/wiki/Lexeme:L716	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#270	5796	... — « Zu gaztia bazir ere ,	adimendu	hon duzu ; @ nik zugatik dudan pena ...
adinian	adinian	adina	https://monumenta.wikibase.cloud/wiki/Lexeme:L727	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#11	355	... begir ezan peril guzietarik ; @ gero irazar	adinian	orit adi bertarik @ zenbait ere orazione erraitera ...
adiskide	adiskide	adiskide	https://monumenta.wikibase.cloud/wiki/Lexeme:L756	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#264	5713	... begitartez itzul zakizat ; @ ni baitan dukezu	adiskide	bat ; @ balia dikezit senar gaixto bat. ...
adiskide	adiskide	adiskide	https://monumenta.wikibase.cloud/wiki/Lexeme:L756	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#329	6940	... hura konplitu du Garaziko naturak @ eta haren	adiskide	orai Bordelen denak . @ Lehen inprimizalia euskararen ...
adiskidiak	adiskidiak	adia	https://monumenta.wikibase.cloud/wiki/Lexeme:L652	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#103	2398	... : @ « Goazen oro elgarreki , ene	adiskidiak	, @ beti eta sekulakoz gauden ene glorian ...
ador	ador			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#19	454	... pensa ezak hura dela hire salbazalia ; @	ador	ezak debozionez eta galde grazia @ azken finian ...
ador	ador			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#68	1499	...  	Ador	ezak Jangoiko bat onets oroz gainetik ; @ ...
aduokatu	aduokatu	adu	https://monumenta.wikibase.cloud/wiki/Lexeme:L873	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#1	2	... Erregeren	aduokatu	bidezko eta nobleari @ birthute eta hon guziez ...
afaria	afaria	afari	https://monumenta.wikibase.cloud/wiki/Lexeme:L913	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#32	700	... buluz eta beztitzia . @ gorputzaren zerbitzutan barazkari	afaria	; @ arimaren salbatzeko Jeinkoaren ohorian @ etzaiala ...
afer	afer	afera	https://monumenta.wikibase.cloud/wiki/Lexeme:L922	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#47	1085	... Ordu hartan	afer	date hari apellatzia , @ hark ehori ez ...
afer	afer	afera	https://monumenta.wikibase.cloud/wiki/Lexeme:L922	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#64	1440	... ; @ gogua gabe hura baitan hitzak oro	afer	tuzu . ...
afer	afer	afera	https://monumenta.wikibase.cloud/wiki/Lexeme:L922	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#88	2020	...  	Afer	date egun hartan hari apelatzia @ ehon ere ...
ageriko	ajeriko	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#45	1054	... da ; @ nor nolako izan giren orduian	ageriko	da , @ egin erran pensatuiak ageriko guziak ...
ageriko	ajeriko	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#45	1059	... orduian ageriko da , @ egin erran pensatuiak	ageriko	guziak . ...
ageriko	ajeriko	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#81	1851	... date eta konzienzia ; @ bekatu oro publikoki	ageriko	orduian . ...
ageriko	ajeriko	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#86	1985	... , juje eta notariak ? @ Ordu hartan	ageriko	klarki haien maliziak @ eta guti baliako kautela ...
agerritan	ajerritan	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#241	5373	... Ametsetan ,	agerritan	, ni zugatik doloretan ; @ hitz bat ...
agerturen	ajerturen	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#48	1126	... ehork haren gortian , @ ogen oro publikoki	agerturen	orduian . ...
agertzera	ajertzera	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#84	1911	... Estalzeko ez izanen ehon ere lekurik ; @	agertzera	nork eginen ordu hartan batirik ? @ Mundu ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#43	1006	... uken baduk bertan oro barkatu ; @ eta	agian	hik eginen bertan berriz bekatu . @ ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#49	1139	... penitenzia , @ behar orduian ez dukegu gero	agian	aizina ; @ anitz jende enganatu doa luzamenduiaz ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#56	1286	... Erioa jaugiten da guti uste denian @ eta	agian	ez emanen konfesione epia ; @ hirur gauza ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#126	2889	... honat beha balite ; @ hon lizaten gaztigurik	agian	enzun liroite , @ Amore bat hautazeko konseilu ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#144	3380	... artian , @ Andre honak har gitzake gomendutan	agian	; @ hanbat bada graziosa ama ororen gainian ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#181	4256	... Perileki baiezila ezin noake hargana @ eta	agian	, hark orduian ezpaituke aizina ; @ badu ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#182	4304	... @ bertzerenzat gelditzen da ene zuzenbidia ; @	agian	gero alabareki ezkonduko semia . ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#294	6392	... @ eta berak permititzen oro hobenagatik ; @	agian	hula ez banango , hil nintzanden engoitik . ...
agian	ajian			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#297	6495	... dizi xahutu ; @ Jangoikoak nitzaz ere hala	agian	egin du . ...
agoen	agoen	hagoa	https://monumenta.wikibase.cloud/wiki/Lexeme:L1113	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#13	387	... nor duian , @ norekila minzo izan han	agoen	artian . ...
ahaidiek	ahaidiek	aha	https://monumenta.wikibase.cloud/wiki/Lexeme:L4	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#35	782	... gorputzori usteltzera lur hotzian egoizten , @ unharzuna	ahaidiek	bertan dute partitzen , @ arima gaixoa dabilela ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#35	790	... dute partitzen , @ arima gaixoa dabilela norat	ahal	dagien ; @ hain biaje bortizian konpainia faltatzen ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#63	1389	... Eta hoiek egiazki ehork hala ezpaditu , @	ahal	bailiaki duda gabe ezin dateiela salbu @ bere ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#141	3273	... Denbora duian artian egik	ahal	hongia ; @ erioa dauginian miraz dukek orduia ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#182	4289	... ere lastoa eta bihia , @ ez batori	ahal	duket ezetare berzia ; @ lan eginaz esker ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#189	4446	... Mirail bat nik	ahal	banu hala luien donoa , @ neure gogoa ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#215	5033	... gaixtorik niri ez darradala ; @ bertzer erran	ahal	baititza ; ez nuk uste duiana. » @ ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#217	5079	... erran gaberik. » @ — « Bada utzi	ahal	bainentzak ni holakoz ixilik. » @ — « ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#219	5133	... , bertzea bego . @ Andrea , mintza	ahal	baitzinde bertze aldian emeago. » ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#276	5956	... lizate , @ zu eta ni elgarreki untsa	ahal	ginate. » ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#283	6104	... nola jinen zen , @ Bearnora gabetarik egon	ahal	hintzanden . ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#287	6197	... oro nitan bedi gaztiga ; @ abantallan dabilela	ahal	bailedi segura ; @ daitza apart egoiztea beti ...
ahal	ahal	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#300	6570	... eta hangoa ezak kojita ; @ hebengoaz bertzekoa	ahal	baheza eskusa , @ untsa enplegatu dukek heben ...
ahalgeizuna	ahaljeizuna	ahal	https://monumenta.wikibase.cloud/wiki/Lexeme:L31	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#263	5693	... egin duzu nahi duzuna , @ eman darautazu	ahalgeizuna	, @ maradikatzen dut neure fortuna , @ ...
ailxa	ailxa	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#23	500	... Andere hona den lekura	ailxa	izak begiak ; @ Mundu oro ez dakidik ...
ainguruiak	ainguruiak	aingura	https://monumenta.wikibase.cloud/wiki/Lexeme:L1311	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#98	2281	... hurak xahu , hats hartzeko airia , @	ainguruiak	zuien goarda ararteko sainduiak , @ zuiegatik ezarri ...
ainguruiak	ainguruiak	aingura	https://monumenta.wikibase.cloud/wiki/Lexeme:L1311	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#174	4120	... Jo badeza dardoaz ere gorputzaren erditik , @	ainguruiak	bano hoboro ez larrake gaizkirik , @ bana ...
aipatzen	aipatzen	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#160	3780	... gaizki erraiten , @ arizki eta desoneski baitituzte	aipatzen	, @ ixilika egoitia ederrago litzate ; @ ...
aipatzera	aipatzera	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#110	2541	... otoitzera zu zakiztan balia , @ digne ezpaniz	aipatzera	zure izen sainduia @ ez jitera aitzinera , ...
aire	aire	aire	https://monumenta.wikibase.cloud/wiki/Lexeme:L1358	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#90	2086	... dakartela odolezko izerdi ; @ tenpestatez igortziriz ,	aire	oro samurrik ; @ mendi eta harri oro ...
airia	airia	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#98	2280	... Suiak bero , hurak xahu , hats hartzeko	airia	, @ ainguruiak zuien goarda ararteko sainduiak , ...
airian	airian	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#93	2157	... Justu oro iganen da hertan goiti	airian	@ eta egonen eskoinetik jujearen aldean : @ ...
airian	airian	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#94	2185	... rigoroski sainduieki zerutik ; @ Josafaten egonen da	airian	gora jarririk , @ bekatorer eginen du arrangura ...
aisira	aisira	aisia	https://monumenta.wikibase.cloud/wiki/Lexeme:L1385	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#71	1586	... dira , @ bekatutan bizi dira beti bere	aisira	; @ egun hartan gal ezkiten aitzinetik begira ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#64	1415	... Apezek ez apezpikuk ez etare	aita	sainduk @ absolbatzen halakoaren ezein botererik ez du ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#68	1518	... @ igandiak eta bestak sanktifika debotki ; @	aita	eta ama ohora izak bizi , izan luzeki ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#87	1995	...  	Aita	saindu , kardenale , apez eta prelatuiak ? ...
aitak	aitak	haita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1397	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#297	6477	... nahi ez banindu ez ninduken punitu ; @	aitak	bere haur maitea gaztigatu ohi du ; @ ...
aite	aite	haita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1397	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#66	1472	... Honekila albaiteza beti ere konbersa @ gaixtoeki ezin	aite	gaizki bezi probexa ; @ bertzer egin ez ...
aitortzen	aitortzen	aitortze	https://monumenta.wikibase.cloud/wiki/Lexeme:L1486	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#58	1308	... O jaun hona ,	aitortzen	dut bekatore nizala @ eta gaizki egitiaz ogen ...
aitzinera	aitzinera	aitzine	https://monumenta.wikibase.cloud/wiki/Lexeme:L1522	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#74	1661	... , ezein falta gaberik @ hilak oro dakatzela	aitzinera	bizirik , @ hantik harat ez dukela bothererik ...
aitzinera	aitzinera	aitzine	https://monumenta.wikibase.cloud/wiki/Lexeme:L1522	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#110	2547	... ezpaniz aipatzera zure izen sainduia @ ez jitera	aitzinera	, zeren bainiz satsuia . ...
aitzinerat	aitzinerat	aitzine	https://monumenta.wikibase.cloud/wiki/Lexeme:L1522	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#3	164	... orano izan eztena eta zure hatse honetik dadin	aitzinerat	augmenta , kontinua eta publika mundu guzietara eta ...
aitzinetik	aitzinetik	aitzine	https://monumenta.wikibase.cloud/wiki/Lexeme:L1522	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#71	1591	... bere aisira ; @ egun hartan gal ezkiten	aitzinetik	begira , @ han orduian ez dukegu ehork ...
aiuta	aiuta	aiuta	https://monumenta.wikibase.cloud/wiki/Lexeme:L1565	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#132	3053	... bano lehen gira hiltzen bekatoriak ; @ hark	aiuta	ezpagitza nola giren galduiak ! ...
aiuta	aiuta	aiuta	https://monumenta.wikibase.cloud/wiki/Lexeme:L1565	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#164	3892	... ; @ haziz gero egun oroz behar haren	aiuta	. ...
aiuta	aiuta	aiuta	https://monumenta.wikibase.cloud/wiki/Lexeme:L1565	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#289	6262	... bagira ; @ pazientza dugun eta Jeinkoak gizan	aiuta	; @ malizian dabilena berak diro mendeka . ...
aiutaria	aiutaria	aiutari	https://monumenta.wikibase.cloud/wiki/Lexeme:L1566	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#121	2804	... ama eztia , @ ararteko leial eta neure	aiutaria	. ...
aizia	aizia	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#180	4249	... han dakusat nekia ; @ beriareki dazanian enetako	aizia	. ...
aizina	aizina	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#49	1140	... , @ behar orduian ez dukegu gero agian	aizina	; @ anitz jende enganatu doa luzamenduiaz , ...
aizina	aizina	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#71	1599	... , @ han orduian ez dukegu ehork ere	aizina	; @ harzaz untsa orhitzia zuhurzia handi da ...
aizina	aizina	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#181	4260	... hargana @ eta agian , hark orduian ezpaituke	aizina	; @ badu ere , beldur date ; ...
aizina	aizina	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#256	5584	... nator zugana , @ zuhaurk dakikezu noiz den	aizina	; @ neke etzaitzula jitia nigana. » @ ...
aizinetik	aizinetik	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#89	2055	... Seinaliak jinen dira	aizinetik	tristerik ; @ elementak ebiliren oro tribulaturik , ...
aizinian	aizinian	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#13	380	... etxe sainduian ; @ han sartzian pensa ezak	aizinian	nor duian , @ norekila minzo izan han ...
aizinian	aizinian	aizina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1636	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#94	2175	... Dagoenian jende oro	aizinian	bildurik , @ jauginen da rigoroski sainduieki zerutik ...
akusari	akusari	akusari	https://monumenta.wikibase.cloud/wiki/Lexeme:L1815	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#81	1843	... @ baitu ororen gainian potestate handia ; @	akusari	bera date eta konzienzia ; @ bekatu oro ...
akusatu	akusatu	akusatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1817	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#289	6255	... mira ez dakigula , @ balinetan bide gabe	akusatu	bagira ; @ pazientza dugun eta Jeinkoak gizan ...
akusatzen	akusatzen	akusatze	https://monumenta.wikibase.cloud/wiki/Lexeme:L1819	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#83	1887	... irestera apaindurik ifernuia azpitik , @ etsai gaitza	akusatzen	ezkerreko aldetik , @ bekatuiak eskuinetik minzaturen publiki ...
ala	ala	ala	https://monumenta.wikibase.cloud/wiki/Lexeme:L1824	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#163	3856	... nontik ginaden sortu ; @ ama emazte luien	ala	ez nahi nuke galdatu ; @ amagatik andre ...
ala	ala	ala	https://monumenta.wikibase.cloud/wiki/Lexeme:L1824	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#221	5141	... — « Benedika fortuna !	Ala	enkontru hona ! @ Orai begietan dizit desiratzen ...
ala	ala	ala	https://monumenta.wikibase.cloud/wiki/Lexeme:L1824	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#277	5967	... porfidia handia ; @ ixil endin nahi nikek	ala	ene fedia ! @ Hitz gutitan adi ezak ...
alabak	alabak	alaba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1826	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#68	1552	... ez temala lagunari falsuki ; @ bertzen emazte	alabak	ez desira gaixtoki @ ez etare unasuna , ...
alabana	alabana	alaba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1826	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#105	2454	... honek iraunen du eben eta iagoitik , @	alabana	ez izanen heben gauza bizirik . @ ...
alabana	alabana	alaba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1826	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#196	4605	... Parti albanengidio hark ez luke parerik , @	alabana	nik ez dizit hain hon derizadanik . @ ...
alabana	alabana	alaba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1826	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#210	4912	... baninz baninzande ni ere hura gaberik , @	alabana	ezin utzi behin ere gogotik . @ ...
alabareki	alabareki	alaba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1826	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#182	4306	... gelditzen da ene zuzenbidia ; @ agian gero	alabareki	ezkonduko semia . ...
albadagik	albadajik	alba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1961	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#13	365	...  	Albadagik	joan adi elizara goizian , @ Jeinkoari han ...
albaditu	albaditu	alba	https://monumenta.wikibase.cloud/wiki/Lexeme:L1961	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#56	1293	... ez emanen konfesione epia ; @ hirur gauza	albaditu	ehork ere egiaz , @ nola ere hil ...
