testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	testuingurua
ciquiñ	zikin	zikin	https://monumenta.wikibase.cloud/wiki/Lexeme:L84422	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
orrí	orri	orri	https://monumenta.wikibase.cloud/wiki/Lexeme:L62112	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
becaitz	bekaitz	bekaitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L10813	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
aldia	aldi	aldia	https://monumenta.wikibase.cloud/wiki/Lexeme:L2250	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
eldu	heldu	eldu	https://monumenta.wikibase.cloud/wiki/Lexeme:L19535	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
zac	zak	zak	https://monumenta.wikibase.cloud/wiki/Lexeme:L82086	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
eztec	hezte	eztek	https://monumenta.wikibase.cloud/wiki/Lexeme:L26518	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
eztec	hezte	eztek	https://monumenta.wikibase.cloud/wiki/Lexeme:L26518	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Zartú dec, atsotú dec (eztec hitz au Erderaz esangó); aimbéste urterén epéan atsotu bear: baña ichoc, oraindican vizcorra céagoc, gaztétzera céac, baceaquic beré buruá chucunquiró edertzen, gaIántzen, apaintzen.
berdiñ	berdin	berdin	https://monumenta.wikibase.cloud/wiki/Lexeme:L11500	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
iguerrico	iger	igerriko	https://monumenta.wikibase.cloud/wiki/Lexeme:L33818	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Oná non dituán Euscárazco hitzac naroró: naibadéc, oa, ta egúzquia sortzen dan aldetic eracáre nai deaná.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Esayóc, beguirá ditzalá hirequin bateán, naiz áurquez, naiz atzez, goitic, betíc, céarca, edo zucénca, eztic berdin idoróco beré erricó hitzen antzá deuanic, ta are guichiago iguerríco, itsúca badâ ere, cer esân nai deuán.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Euscâra dec Espáñian lénengo sartu zana, eta arén baztér guztietan era bateán, ta luzaró chit, hitzeguín zána.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Zartú dec, atsotú dec (eztec hitz au Erderaz esangó); aimbéste urterén epéan atsotu bear: baña ichoc, oraindican vizcorra céagoc, gaztétzera céac, baceaquic beré buruá chucunquiró edertzen, gaIántzen, apaintzen.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Utzi diozagun Mayansi, jaquiúndeco máyan janári oníc ifinten eztigunâri, ezpadá lapico ustel bat, arbiz, azáz, chongoz, biri cáquiz, hitz batean, zadurá báduraz beteâ.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Oná non dituán Euscárazco hitzac naroró: naibadéc, oa, ta egúzquia sortzen dan aldetic eracáre nai deaná.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Esayóc, beguirá ditzalá hirequin bateán, naiz áurquez, naiz atzez, goitic, betíc, céarca, edo zucénca, eztic berdin idoróco beré erricó hitzen antzá deuanic, ta are guichiago iguerríco, itsúca badâ ere, cer esân nai deuán.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Euscâra dec Espáñian lénengo sartu zana, eta arén baztér guztietan era bateán, ta luzaró chit, hitzeguín zána.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Zartú dec, atsotú dec (eztec hitz au Erderaz esangó); aimbéste urterén epéan atsotu bear: baña ichoc, oraindican vizcorra céagoc, gaztétzera céac, baceaquic beré buruá chucunquiró edertzen, gaIántzen, apaintzen.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Utzi diozagun Mayansi, jaquiúndeco máyan janári oníc ifinten eztigunâri, ezpadá lapico ustel bat, arbiz, azáz, chongoz, biri cáquiz, hitz batean, zadurá báduraz beteâ.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	Andre hori da zeure ama, aiñ ondo aci cinduena, ain gozo bere bularrez bazcatu cinduena: cergatic bada deitzen eztiozu zeure ama? ausaz lotsa cera alaco amagandic jaio izateaz? Eztaquit, nola dedan hitz oec esateco biotzic: eztigot hizcunde oni jarraitu nai gueiago.
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	Etzion gaitzez ala hitzeguin semeac amari, ezpada onez ta amodioz: cergatic ce amaren icenaz aunditu ta berrituco ciauzcan bere miñac, damuac, ta doloreac,
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	Vsteco dezue, hitz oequin gozatu zala Virgiña cerbait? ez bada, dio San Bernardoc, bai mindu ceueen bi auco ezpata batec baño gueiago,
hitz	hitz	hitz	https://monumenta.wikibase.cloud/wiki/Lexeme:L37923	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	Etzioen bada hitz oec consueloric eman Virgiñari, ez eguiaqui San Juanen aldetic, ceiña beti izan baitzan aren seruitzari, ta seme leyal bat: baña bai gueure aldetic; ceiñac gueure pecataritasunean amatzat daucagula Virgiña, ain guichi arzaz contu iduquico guenduan.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	Esayóc, beguirá ditzalá hirequin bateán, naiz áurquez, naiz atzez, goitic, betíc, céarca, edo zucénca, eztic berdin idoróco beré erricó hitzen antzá deuanic, ta are guichiago iguerríco, itsúca badâ ere, cer esân nai deuán.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	Cer da au, esango dit norbaitec, Virgiña orrec icenic ezteu, beiñ bederic aitatzeco? eranzungo digot, gaur bear guenduela icen orren eguna: baña ez egunic idorotzen dedala, ez eta Virgiñaren icenic gaurco euangelioan.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	Nic esango det cer dan.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	Baña cer da hori Virgiña guciz santea? cer esan nai digu zeure aurpeguiera damugarri orrec? Cerentzat dezu soñeco gaua dirudien hori? Cer eguin da zeure beguien gozoa? nora joan da zeure arpeguico edertasuna? non ezcutatu da zeure colorearen naste churigorri preciatu hura, edo nola dago aiñ itsusqui ubelduric? Oraindaño esan oi cideen, zeu ciñala araco ceruan beiñ batean aguertu zan señale aundia, izarrez burua, illarguiaz oñac, ta gorputz gucia eguzquiaz janci, ta ederturic ceucana.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	Ezperen non cerate esquer gaistoco izarrac? Oi eta atera albaneguiz beren lecutic, Señora oni beardanezco coroe bat eguiteco! Non cera, Cinthia, illargui aldagarria? Oi eta albanegui oñazpicotzat ezarri aren oñazpietan! Non ote zabiltza oraingoan bederic ezaguera bagueco eguzqui itsua? Oi eta zeure argui-errañuetatic epaqui albaneguio gueure Ama mindun oni manturic ederrena! Orrela egon bear deu Virginaric gozoena, miñez, damuz, ezpataz ene biotza josiric?
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	Baña cer da hori Virgiña guciz santea? cer esan nai digu zeure aurpeguiera damugarri orrec? Cerentzat dezu soñeco gaua dirudien hori? Cer eguin da zeure beguien gozoa? nora joan da zeure arpeguico edertasuna? non ezcutatu da zeure colorearen naste churigorri preciatu hura, edo nola dago aiñ itsusqui ubelduric? Oraindaño esan oi cideen, zeu ciñala araco ceruan beiñ batean aguertu zan señale aundia, izarrez burua, illarguiaz oñac, ta gorputz gucia eguzquiaz janci, ta ederturic ceucana.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	Ezperen non cerate esquer gaistoco izarrac? Oi eta atera albaneguiz beren lecutic, Señora oni beardanezco coroe bat eguiteco! Non cera, Cinthia, illargui aldagarria? Oi eta albanegui oñazpicotzat ezarri aren oñazpietan! Non ote zabiltza oraingoan bederic ezaguera bagueco eguzqui itsua? Oi eta zeure argui-errañuetatic epaqui albaneguio gueure Ama mindun oni manturic ederrena! Orrela egon bear deu Virginaric gozoena, miñez, damuz, ezpataz ene biotza josiric?
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	Baña cer da hori Virgiña guciz santea? cer esan nai digu zeure aurpeguiera damugarri orrec? Cerentzat dezu soñeco gaua dirudien hori? Cer eguin da zeure beguien gozoa? nora joan da zeure arpeguico edertasuna? non ezcutatu da zeure colorearen naste churigorri preciatu hura, edo nola dago aiñ itsusqui ubelduric? Oraindaño esan oi cideen, zeu ciñala araco ceruan beiñ batean aguertu zan señale aundia, izarrez burua, illarguiaz oñac, ta gorputz gucia eguzquiaz janci, ta ederturic ceucana.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	Belaunico Virgiñaren oñetan jarrico ote naiz? baña cer esango digot, oñacez, damuz, miñez gañez eguiñic badago? Graciaren escatzeac gogoratuco digo bere dolore gucien asiera, ta jaiotza, ta eztirudi ondo, nic aren miñac aunditzea.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	Igoco ote naiz cerura? baña oraindio ichia dago, ta arria bezain gogor.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	Cer eguingo det bada, edo norganaco naiz? Badaquit guero ere norgana: doloreen Amari eguin bear digot, ez besteri, graciaren escari au.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Eta doloreen Ama, cer diozu? arren hori da zeure semea? Espiritu Santuagandic sortu zana? Secula guciac icusi deueen guizonic ederrena? Nola dago bada hitzic, asnaseric, bicirican bague? Nora zaca bere záiñetaco odola? Lurrean, baratza, cale, bide gucietan isuria, ta borrero latzen oñazpietan, abere batena baliz bezala.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Guizonac, burnizcoac ezpacerate, emacumeac, erruquiric bádezute, beguirezazue nola dagoan zeuec irabazteagatic, infernutic ateratzeagatic, cerura eramateagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Cer diardu bada zure amodioac? Cer esaten diozu? Aoaz isillic dago, baña biotzez, ta bien arteco hizcunderen batean, onela hitzeguin ceguiquion.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Cer diardu bada zure amodioac? Cer esaten diozu? Aoaz isillic dago, baña biotzez, ta bien arteco hizcunderen batean, onela hitzeguin ceguiquion.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Cer diardu bada zure amodioac? Cer esaten diozu? Aoaz isillic dago, baña biotzez, ta bien arteco hizcunderen batean, onela hitzeguin ceguiquion.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Cer diardu bada zure amodioac? Cer esaten diozu? Aoaz isillic dago, baña biotzez, ta bien arteco hizcunderen batean, onela hitzeguin ceguiquion.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Eta doloreen Ama, cer diozu? arren hori da zeure semea? Espiritu Santuagandic sortu zana? Secula guciac icusi deueen guizonic ederrena? Nola dago bada hitzic, asnaseric, bicirican bague? Nora zaca bere záiñetaco odola? Lurrean, baratza, cale, bide gucietan isuria, ta borrero latzen oñazpietan, abere batena baliz bezala.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Ay nere seme gozo, nere beguietaco argui, nere biciaren bicia! nola ifiñi zaituzten Adanen humeac! onelaco acabera bear ceuen asiera aiñ ederrac? pagu au mereci ceuen zeure oneguiñac? itsustasun au aingueruen edertasunac? eta il bear ceuanean, ecin bestela acaba citequean neure erreyetaco seme bacarra? Ay neure semea, ta jabea, nolacoa zaduzcaten guizonac, ta emacumeac? Cer eguin ote dezu? Cer pecatu, cer dollorqueria, cer gaiztaquerietan arquitu ote cera? Cer gaitz, cer calte eguin diezu guizonai? Certan ofenditu dituzu? Cergatic dizute gorrotó, ta etsaigo aiñ aundia? Ô emen ceraten aingueruac, beguira nolacoa dagoan zeuen criatzallea: aita eternoa, ona emen zeure semea illic, edo alde aldean, zeuri obeditzeagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Guizonac, burnizcoac ezpacerate, emacumeac, erruquiric bádezute, beguirezazue nola dagoan zeuec irabazteagatic, infernutic ateratzeagatic, cerura eramateagatic.
cer	zer	zer	https://monumenta.wikibase.cloud/wiki/Lexeme:L83851	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	Eta doloreen Ama, cer diozu? arren hori da zeure semea? Espiritu Santuagandic sortu zana? Secula guciac icusi deueen guizonic ederrena? Nola dago bada hitzic, asnaseric, bicirican bague? Nora zaca bere záiñetaco odola? Lurrean, baratza, cale, bide gucietan isuria, ta borrero latzen oñazpietan, abere batena baliz bezala.
