aar,aárra
aldameneko,aldamenecoa
aldamio,aldamioa
aldande,aldandea
aldandetu,aldandetua
aldapa,aldapa
aldaratu,aldaratu
aldare nagusi,aldare nagusia
aldare,aldarea
aldaretxo,aldarechoa
aldaro,aldaroa
aldarri,aldarria
aldats,aldatsa
aldatsu,aldatsua
aldatu,aldatu
aldatze,aldatzea
aldaurke,aldaurquea
aldazpi,aldazpia
aldazpitu,aldazpitua
alde,alde
alde,aldea
alde,aldeá
aldeko,aldecoa
aldekoi,aldecoya
aldedari,aldedaria
aldedaride,aldedaridea
aldegite,aldeguitea
aldeki,aldequia
aldekide,aldequidea
aldekideko,aldequidecoa
alderagile,alderaguillea
alderatu,alderatu
alderatu,alderatua
alderdi,alderdiac
aldi,aldia
aldiakatu,aldiacatua
aldimaitzadun,aldimaitzaduna
aldiri,aldiria
aldiritar,aldiritarra
alditsu,alditsua
aldizkako,aldizcacoa
aldizkatu,aldizcatua
aldizko,aldizcoa
aldondu,aldondua
aldoste,aldostea
aldun,alduna
ale,alea
ale,aleac
aletxo,alechoa
alegeratu,alegueratu
alegeratu,alegueratua
aletu,aletua
alfer,alfer
alfer,alferra
alfertasun,alfertasuna
algain,algaiña
algara,algará
ailegatu,allegatu
almena,almená
almen,almenac
almendra,almendra
almendun,almenduna
almirante,almirantea
alokazer,alocacera
alokairatu,alocairatua
alokairu,alocairua
alokatu,alocatua
alogerari,alogueraria
alogeratu,alogueratua
alogeratzaile,alogueratzallea
alor,alorra
alortaki,alortaquia
alortari,alortaria
alosidun,alosiduna
alositsu,alositsua
alper,alper
alper,alperra
alper,alperrá
alpertu,alpertua
alportxa,alporcha
alki,alquia
altsistu,alsistua
altare,altarea
altisoitu,altisoitua
altzatu,altzatu
altzo,altzoa
altzoko,altzocoa
ama,amá
amabitxi,amabichia
amabisaba,amabisaba
amagarri,amagarria
amagoi,amagoya
amaizun,amaizuna
amaldeko,amaldecoa
amama,amama
amanda,amandá
amakide,amaquidea
amarr,amarrac
amarratu,amarratua
amarru,amarrua
amarrutsu,amarrutsua
amaso,amasoa
amatar,amatarra
amatasun,amatasuna
amatu,amatua
amatzaile,amatzallea
amatzar,amatzarra
anbaldu,ambaldua
anbar,ambar
amelaun,amelauna
amelu,amelua
amen,amena
ameskaitz,amescaitza
amesgile,amesguillea
amesle,ameslea
amets,ametsá
ametsaldi,ametsaldia
ametsetako,ametsetacoa
ametz,ametzá
amezti,ameztia
ami,amia
amianto,amianto
amilkor,amilcorra
amildu,amildu
amildu,amildua
amizkle,amizclea
amoko,amocoa
amodio,amodio
amodio,amodioa
amodiogile,amodioguillea
amodiotsu,amodiotsua
amona,amoná
amorratu,amorratu
amorratu,amorratua
amorrazale,amorrazalea
anparatu,amparatu
anparatu,amparatua
anparatzaile,amparatzallea
anparo,amparoa
anpoilatxo,ampollachoa
anpulu,ampulua
amu,amuac
amuko,amucoa
amultsu,amultsua
amutsu,amutsua
anakardo,anacardoa
anai hiltzaile,anai hiltzallea
anaide,anaidea
anaikide,anaiquidea
anaitar,anaitarra
anaitasun,anaitasuna
anaitu,anaitua
anaia,anaya
antxitari,anchitaria
antxiti,anchitia
antxu,anchua
antxume,anchumea
antzi,ancia
antzi,anciá
antzinako,anciñacoa
antzinako,anciñacoac
antzinande,anciñandea
antzinari,anciñaria
antzinaro,anciñaro
antzinate,anciñatea
antzinazale,anciñazalea
antzinen,anciñena
andana,andaná
andere,andere
andere,anderea
andeza,andeza
andre,andrea
andrezale,andrezalea
anega,anega
angurri,angurria
animalia,animaliá
animaliatxo,animaliachoa
animatu,animatua
animotsu,animotsua
anis,anisá
anoa,anoa
anoa,añoa
anoa,añoá
anodun,anoduna
antsia,ansia
antsia,ansiá
antsiatu,ansiatu
antsiatu,ansiatua
antsikabe,ansicabea
antetsu,antetsua
antolamendu,antolamendua
antolamendu,antolamenduá
antolari,antolaria
antolatu,antolatu
antolatu,antolatú
antolatu,antolatua
antsia,antsia
antsia,antsiá
antsia izan,antsia izan
antsiati,antsiatia
antsiatu,antsiatu
antsiatu,antsiatua
antsikaitz,antsicaitza
antz,antzá
antzakabe,antzacabea
antzar,antzarra
antzeko,antzecoa
antzo,antzoa
antzoko,antzocoa
anu,anuá
anddere,anyerea
antz,anza
antz,anzá
antzo,anzoá
antzunde,anzundea
apaidin,apaidiña
apain,apain
apain,apaina
apain,apaiña
apaindu,apaindu
apaindu,apaindú
apaindu,apaindua
apaingarri,apaingarri
apaingarri,apaingarria
apaingela,apainguela
apainketa,apainqueta
apaintzaile,apaintzallea
apaintze,apaintzea
apaiz,apaiza
apaiz,apaizá
apaizkide,apaizquidea
apaiztar,apaiztarra
apaizurren,apaizurrena
apal,apala
apal,apalá
apari,aparia
apar,aparra
apartagarri,apartagarria
apartatu,apartatu
apartatu,apartatua
apartsu,apartsua
apatz,apatza
apo,apoa
apote,apotea
apur,apurra
apurtu,apurtu
aputio,aputioa
akertxo,aquerchoac
aker,aquerra
akertzar,aquertzarra
akitu,aquitu
arakaldi,aracaldia
arakarri,aracarria
arazi,aracia
aragei,aragueya
aralde,araldea
araldi,araldia
aran,arana
arantza,aranzá
arantzadi,aranzadia
ararteko,arartecoa
aratoitz,aratoitza
aratu,aratua
aratu,aratuá
aratz,aratza
aratzaile,aratzallea
arau,araua
araude,araudea
araudun,arauduna
araulde,arauldea
araukide,arauquidea
arautsu,arautsua
arautu,arautu
arautu,arautua
araututs,araututsa
arazgetu,arazguetua
arazo,arazo
arazo,arazoa
arazotu,arazotua
arazkin,arazquiña
araztasun,araztasuna
araztu,araztu
arbaso,arbaso
arbazta,arbazta
arbazt,arbaztac
arbel,arbelá
arbeltx,arbelcha
arboladi,arboladia
arbuiatu,arbuyatu
arka,arcaa
arkakuso,arcacusoa
arkanbele,arcambelea
artxari,archaria
artxo,archoa
arkume,arcume
arkume,arcumea
arkumetxo,arcumechoa
ardandegi,ardandeguia
ardatz,ardatza
ardazle,ardazlea
ardi errebelatu,ardi errebelatua
ardi,ardia
ardi,ardiá
arditxo,ardichoa
ardietsi,ardietsia
ardit,ardita
arditegi,arditeguia
ardo,ardó
ardore,ardorea
ardotsu,ardotsua
ardozale,ardozalea
ardun,arduna
ardura,ardurá
ardurati,arduratia
areatu,areatua
aretxe,arechea
aren,arena
arerio,arerioa
areriotasun,areriotasuna
areriotu,areriotu
argal,argal
argal,argala
argal,argalá
argaldu,argaldu
argaldu,argaldua
argaltasun,argaltasuna
argontzi,argoncia
arge,arguea
argi emaile,argui emallea
argi,arguia
argiagotu,arguiagotua
argiaren begi,arguiaren beguia
argikari,arguicaria
argidore,arguidorea
argidun,arguiduna
argigarri,arguigarria
argimen,arguimena
arginguru,arguingurua
argiontzi,arguiontzia
argipetu,arguipetua
argiketa,arguiqueta
argitasun,arguitasuna
argitsu,arguitsua
argitu,arguitu
argitu,arguitua
argitzaile,arguitzallea
argitze,arguitzea
argustu,argustua
aria,ariá
arikatu,aricatua
arima,arima
arin,arin
arin,ariñ
arin,ariña
arindu,arindu
arindu,arindua
arinki,arinquia
arintasun,arintasuna
ario,arioa
arla,arlaa
arlatx,arlacha
armada,armadá
armadura,armadurá
armategi,armateguia
armiarma,armiarma
arnegari,arnegaria
arnegatu,arnegatú
arnegu,arnegua
aro,aroa
aro,aroá
arotu,arotu
arotu,arotua
arotz,arotza
aroi,aroya
arpeko,arpecoa
arpegi,arpeguia
arpetz,arpetza
arpetz,arpetzá
arpilatu,arpillatu
arpilatu,arpillatua
arpilo,arpilloa
arpoi,arpoya
arpoi,arpoyac
arkitu,arquitu
arkitu,arquitua
arra,arrá
arrabio,arrabioa
arrakada,arracada
arrakada,arracadá
arrakad,arracadac
arrakatu,arracatua
arrakotxo,arracochoa
arradatu,arradatua
arradizatu,arradizatua
arrai,arrai
arraia,arraia
arraia,arraiá
arrain,arraina
arraintxo,arrainchoa
arraitsu,arraitsua
arraiztu,arraiztua
arrailatu,arrallatu
arranpa,arrampa
arrankatu,arrancatua
arrandari,arrandaria
arrandegi,arrandeguia
arrangorri,arrangorria
arrano,arrano
arrano urdin,arrano urdiña
arrano,arranoa
arrantza,arrantza
arrantzale,arrantzalea
arrantzatu,arrantzatu
arrantzale,arranzalea
arrantzari,arranzaria
arrantzategi,arranzateguia
arrantzatu,arranzatu
arrantzatu,arranzatua
arras,arrasá
arrasatu,arrasatu
arrasatu,arrasatua
arrast,arrasta
arrastakari,arrastacaria
arrastatu,arrastatu
arrastu,arrastú
arrastu,arrastua
arrati,arratia
arratsaldeko,arratsaldecoa
arratz,arratza
arratzalde,arratzaldea
arrau,arrauac
arraun,arraun
arraia,arráya
arraiagile,arrayaguillea
arrazatu,arrazatua
arrazko,arrazcoa
arre,arrea
arre,arreá
arreba,arreba
arrebatu,arrebatua
arreman,arremana
arreman,arremaná
arrendatu,arrendatua
arrendatzaile,arrendatzallea
arrendu,arrendu
arrendu,arrendua
arreta,arreta
arreta,arretá
arreta,árreta
arretadun,arretaduna
arretagabe,arretagabea
arretatu,arretatua
arretatu,arretatuá
arretu,arretu
arretu,arretua
arrimatu,arrimatu
arrimatu,arrimatua
arrimu,arrimua
arroa,arroa
arrokarri,arrocarria
arrojo,arrojoa
arropa,arropa
arropatxo,arropachoa
arropategi,arropateguia
arropatu,arropatua
arrotz,arrotza
arrotz,arrotzá
arrotzain,arrotzaina
arrotze,arrotzea
arroztegi,arrozteguia
arta,arta
arta,artá
artaburu,artaburua
artazi,artaciac
artalde,artaldea
artale,artalea
artapen,artapena
artatsu,artatsu
artatsu,artatsua
artatu,artatu
artatu,artatua
artauste,artaustea
artautsi,artautsia
arte,arte
arte,artea
arte,arteá
arte,ártea
artean,artean
arteko,arteco
arteko,artecoa
arteko,artecoac
artelatz,artelatza
artelazki,artelazquia
artepaki,artepaquia
artetu,artetu
artetu,artetua
artez,artez
artez,artéz
artez,artezá
artezari,artezaria
arteztari,arteztaria
arteztu,arteztu
arteztu,arteztú
arteztzaile,arteztzallea
artisjakin,artisjaquiña
artista,artistá
artizar,artizarra
arto,artoa
artore,artorea
artos,artosa
arturgi,arturguia
artzanor,artzanora
artzari,artzaria
artzar,artzarra
artzatu,artzatua
artzelari,artzelaria
artzaigoki,arzaigoquia
artzain,arzaina
asab,asabac
asaldatu,asaldatú
asaldatu,asaldatua
asbesto,asbesto
aska,asca
aska,ásca
askaera,ascaera
askaezgarri,ascaezgarria
askaldu,ascaldu
askari,ascaria
askatu,ascatu
askatu,ascatua
askatzaile,ascatzallea
askatze,ascatzea
askai,ascaya
askordin,ascordina
ase,ase
ase,asé
ase,asea
asealdi,asealdia
asentsio,asensioa
asilo,asilo
asmazio,asmacioa
asmakizun,asmaquizuna
asmari,asmaria
asmari,asmariac
asmate,asmatea
asmatsu,asmatsua
asmatu,asmatu
asmatu,asmatú
asmatu,asmatua
asmatzaile,asmatzallea
asmatze,asmatzea
asmegitari,asmeguitaria
asmo,asmoa
aspaldi,aspaldia
aspaldiko,aspaldicoa
aspertu,aspertu
aske,asquea
askijakinde,asquijaquindea
askitatu,asquitatua
askito,asquitoa
astabortusai,astabortusaya
astaeme,astaemea
astagarbantzu,astagarbanzua
astamadari,astamadaria
astakeria,astaqueria
aste santu,aste santua
aste,asteá
astearte,asteartea
asteazken,asteazquena
asti,asti
asti,astia
astigar,astigarrá
astin,astina
astindu,astindu
astindu,astindua
astitsu,astitsua
asto,asto
asto,astoa
astotxo,astochoa
astotu,astotua
astu,astua
astun,astun
astun,astuna
astun,astuná
astundu,astundu
astundu,astundú
astundu,astundua
astungarri,astungarri
astungarri,astungarria
asun,asuna
axal,asyala
atabal,atabala
atabal,atabalá
atalapistatu,atalapistatua
atalar,atalarra
atalai,atalaya
atalburu,atalburua
atape,atapea
atari,ataria
ataritxo,atarichoa
ataritzar,ataritzarra
ataska,atasca
atask,atascac
ataurre,ataurrea
ataurre,atáurrea
atauski,atausquia
ate,até
ate,atea
atetxo,atechoa
atera,atera
atera,aterá
aterakai,ateracaya
ateraki,ateraquia
ateraki,ateraquiac
ateratu,ateratu
ateratu,ateratua
ateratzaile,ateratzallea
ateratze,ateratzea
ateri,ateri
ateri,ateria
aterraldi,aterraldia
aterrune,aterrunea
atertu,atertu
atertu,atertua
ateste,atestea
ateubal,ateubala
atezain,atezaina
atorra,atorra
atorratxo,atorrachoa
atorratu,atorratua
atorratzar,atorratzarra
atrabesatu,atrabesatua
atrapatu,atrapatu
atrapatu,atrapatua
atrebentzia,atrebencia
atrebitu,atrebitua
ats,atsa
ats,atsá
atsal,atsalá
atsalkor,atsalcorra
atsaldu,atsaldua
atsekabe,atsecabea
atsekabetu,atsecabetu
atsekabetu,atsecabetua
atseden,atseden
atseden,atsedena
atsedendu,atsedendua
atsedengarri,atsedengarria
atsedentegi,atsedenteguia
atsegin,atseguin
atsegin,atseguiña
atsegin,atseguiñá
atsegite,atseguitea
atso,atsoa
atso,atsoá
atsodi,atsodia
atsodi,atsodiac
atsorio,atsorioá
atun,atuna
atuntegi,atunteguia
aturditu,aturditua
atzaparka egin,atzaparca eguin
atzaparkada,atzaparcada
atzaparkatu,atzaparcatu
atzapartu,atzapartu
atzapartu,átzapartu
atzapartu,atzapartua
atzarri,atzarria
atzatu,atzatua
atze,atzea
atzeko,atzecoa
atzeman,atzemana
atzen,atzena
atzendu,atzendu
atzeneko,atzenecoa
atzerapen,atzerapena
atzeratu,atzeratu
atzeratu,atzeratua
atzerri,atzerria
atzetu,atzetu
atzetu,atzetua
atzikai,atzicaya
atzipekor,atzipecorra
atzipetu,atzipetu
atzipetzaile,atzipetzallea
atzitu,atzitu
atzitu,atzitua
atzo,atzó
auzi,aucia
auzilari,aucilaria
auzizale,aucizalea
audiakatu,audiacatua
auhen,auhena
auhendu,auhendua
auhengarri,auhengarria
aume,aumea
aunatu,aunatu
aukera,auquera
aukeztu,auqueztua
aurka,aurca
aurka,aurcá
aurdigi,aurdiguia
aurpegi,aurpegui
aurke,aurquea
aurke,aurqueac
aurkeztari,aurqueztaria
aurkezte,aurqueztea
aurkeztu,aurqueztu
aurkeztu,aurqueztua
aurki,aurqui
aur,aurra
aur,aurrá
aur,áurra
aurrandetu,aurrandetua
aurratu,aurratua
aurre,aurre
aurre,aurrea
aurreko,aurreco
aurreko,aurrecoa
aurreko,áurrecoa
aurren,aurrena
aurren,aurrenac
aurrenti,aurrentia
aurreragotu,aurreragotua
aurrerapen,aurrerapena
aurreratu,aurreratu
aurreratu,aurreratua
aurreratzaile,aurreratzallea
aurreratze,aurreratzea
ausartzia,ausarciá
ausarki,ausarqui
ausart,ausart
ausart,ausartá
ausartzia,ausartzia
auskari,auscaria
autortu,autortu
autsi,autsia
autz,autza
autz,autzac
auzbakide,auzbaquidea
auzbakideko,auzbaquidecoa
auzilari,auzilaria
auzo,auzoa
auzki,auzquia
auztepaitu,auztepaitua
abisatu,avisatú
abisatu,avisatua
ai,aya
ai,ayá
aieru,ayerua
aierupen,ayerupena
aza,azá
azal,azala
azal,azalá
azaltxo,azalchoa
azaldari,azaldaria
azalde,azaldea
azaldezgarri,azaldezgarria
azaldu,azaldu
azaldu,azaldua
azaldun,azalduna
azalpeko,azalpecoa
azaltsu,azaltsua
azaltze,azaltzea
azao,azaoa
azaro,azaroa
azarti,azartia
azarton,azartona
azkar,azcarra
azkarri,azcarria
azkatu,azcatua
azkon,azcona
azkonar,azconarra
azeri,azeria
azerikeria,azeriqueria
azeritzar,azeritzarra
azoka,azocá
azoge,azoguea
azotaldi,azotaldia
azotatu,azotatu
azotatu,azotatú
azote,azote
azote,azotea
azpi,azpia
azpiko,azpicoá
azpikotu,azpicotua
azpildu,azpildu
azpildu,azpildua
azpildura,azpildura
azpiratu,azpiratu
azpiratu,azpiratua
azpizun,azpizuna
azken,azquena
azkenaitxo,azquenaichoa
azkendu,azquendu
azkendu,azquendua
azkendukitu,azquenduquitua
azkeneko,azquenecoa
aztal,aztala
aztal,aztalá
aztandu,aztandua
aztarna,aztarna
aztarnatu,aztarnatua
azti,aztia
aztiatu,aztiatu
aztiatu,aztiatú
aztura,aztura
azukre,azucrea
azukretu,azucretua
azun,azuna
babil,babilla
bakailao,bacallao
bakailao,bacallaoá
bakan,bacan
bakan,bacaná
bakandu,bacandu
bakandu,bacandú
bakar,bacara
bakartxo,bacarchoa
bakardade,bacardadea
bakar,bacarra
bakartar,bacartarra
bakarte,bacartea
bakartegi,bacarteguia
bakartu,bacartu
bakun,bacuna
bakun,bacuná
bakunde,bacundea
badia,badiá
baga,baga
baga,bagá
bag,bagac
bagai,bagaya
baia,baia
baimendu,baimendua
bainande,bainandea
bairatsu,bairatsua
bairatu,bairatu
bairatu,bairatua
baitu,baitua
balakari,balacaria
balakatu,balacatu
balakatu,balacatua
balakatzaile,balacatzallea
balaku,balacua
balada,baladá
balazo,balazoa
balkoi,balcoya
baldan,baldana
baldankeria,baldanqueria
baldatu,baldatua
baldinde,baldindea
baldinde,baldindeac
baldindetu,baldindetua
baleazale,baleazalea
balekume,balecumea
baleroso,balerosoa
baliatu,baliatu
balio,balio
balio,balioa
baliokaitz,baliocaitza
balios,baliosa
baliotsu,baliotsua
balioztatu,balioztatu
balon,balona
baltsamu,balsamua
baltsatu,balsatua
baltz,baltza
banaitatu,banaitatua
banatu,banatu
banatu,banatua
banatze,banatzea
banda,bandá
bandatu,bandatu
bandatu,bandatua
bandera,bandera
banderatxo,banderachoa
banderadun,banderaduna
banderadun,banderaduná
bandolera,bandolera
bandurria,bandurria
banerne,banernea
baketa,baqueta
baketu,baquetu
baki,baquia
bakidargo,baquidargoa
bakide,baquidea
baratxuri,barachuria
baranda,barandá
baratasun,baratasuna
baratu,baratu
baratz,baratza
baratzai,baratzaya
baratze,baratzea
barau,baraua
barautzaile,barautzallea
barazki,barazquia
barbildu,barbildua
barkazio,barcacioa
barkagarri,barcagarria
barkamen,barcamena
barkatu,barcatu
barkatu,barcatua
barkatzaile,barcatzallea
barkatzar,barcatzarra
bardaildu,bardaildua
bare,barea
baresare,baresarea
barjakinde,barjaquindea
barlasai,barlasaya
barnako,barnacoa
barnakoi,barnacoya
barnagarri,barnagarria
barnari,barnaria
barnatu,barnatu
barnatu,barnatua
barneko,barnecoa
barrabildun,barrabilduna
barrabil,barrabilla
barraiatu,barraiatu
barraiatu,barrayatu
barrenagotu,barrenagotua
barrenkoi,barrencoya
barrendu,barrendu
barrendu,barrendua
barrengo,barrengoa
barrentzaile,barrentzallea
barrera,barrera
barreiatu,barreyatu
barreiatu,barreyatua
barrika,barrica
barrikada,barricada
barril,barrila
barrisuri,barrisuria
barru,barrua
barrukari,barrucaria
barruko,barrucoa
barrunbe,barrumbea
barrunte,barruntea
barruti,barrutia
barur,barura
basa,basa
basa,basá
basa,basaá
basaku,basacua
basajende,basagendea
basajaki,basajaquia
basamortu,basamortua
basakeria,basaqueria
basarbi,basarbia
basatar,basatarra
basati,basatia
basaudare,basaudarea
baserri,baserria
baserritar,baserritarra
basi,basiá
basitu,basitu
baso,basoa
basotxo,basochoa
basoilar,basollarra
basoratu,basoratu
basorki,basorquia
basta,basta
basta,bastá
bastagin,bastaguiña
bastatu,bastatua
bastoi,bastoya
bat,bat
batailari,batallaria
bataile,batallea
batasun,batasuna
bataiatu,batayatu
bataiatu,batayatua
bataio,batayoa
bateo,bateoa
bateratu,bateratu
batots,batotsa
bats,batsá
batsai,batsaya
batu,batu
batu,batú
batu,batua
batu,batuá
batune,batunea
batzaile,batzallea
batzaile,batzállea
batzarkide,batzarquidea
batzartar,batzartarra
batze,batzea
batzi,batzia
bai,bay
baia,baya
baia,bayá
baieratu,bayeratua
baietz,bayetz
baietz,bayetzá
baiezko,bayezcoa
baieztatu,bayeztatú
baieztatu,bayeztatua
baieztu,bayeztu
baieztu,bayeztú
baieztu,bayeztuá
bazka,bazca
bazka,bazcá
bazkaltegi,bazcalteguia
bazkategi,bazcateguia
bazkatu,bazcatu
bazkatu,bazcatua
bazkatzaile,bazcatzallea
bazkorni,bazcornia
baztanga,baztanga
baztangadun,baztangaduna
baztertxo,bazterchoa
bazter,bazterrac
bazterreko,bazterrecoa
bazterreratu,bazterreratu
baztertu,baztertu
beakarri,beacarria
beakurtu,beacurtua
bear,bearra
bear,bearrá
bekaindi,becaindia
bekaitz,becaitza
bekaizti,becaiztia
bekaiztu,becaiztu
bekaiztu,becaiztu
bekaiztu,becaiztua
bekalde,becaldea
bekaldu,becaldua
bekar,becara
bekar,becarra
bekartsu,becartsua
bekatari,becataria
bekatu,becatua
bezero,beceroa
betxuri,bechuria
bezint,becintac
bezintarte,becintartea
bekoki,becoquia
bekosko,becoscoa
bekoskodun,becoscoduna
bekoskotsu,becoscotsua
bekurunde,becurundea
bekurundetsu,becurundetsua
bedarki,bedarquia
bedatu,bedatua
bedaur,bedaurra
bedeinkatu,bedeincatu
bedeinkatu,bedeincatua
bederatzi,bederatzi
bederatzigarren,bederatzigarrena
bederatziurren,bederatziurrena
bedoitegi,bedoiteguia
bedoi,bedoya
beekidatu,beequidatua
begaizte,begaiztea
begaiztetu,begaiztetua
begoitetu,begoitetua
begerri,beguerria
begi ur,begui ura
begitxo,beguichoa
begiko,beguicoa
begiesle,beguieslea
begietsi,beguietsi
begietsi,beguietsia
begiorde luze,beguìorde lucea
begirada,beguirada
