LAR_LEMMA	EGOKITUA	FAILED_MATCH
Acañabereado	acañabereado	acañabereado
Acañoneador	acañoneador	acañoneador
Acañonearſe	acañonearse	acañonearse
Acardcnalarſe	acardcnalarse	acardcnalarse
Acarrearſe algun mal	acarrearse algun mal	acarrearse
Acaudalador	acaudalador	acaudalador
Acayrelado	acayrelado	acayrelado
Acebadarſe	acebadarse	acebadarse
Acechado	acechado	acechado
Hazerlo acechar	hazerlo acechar	hazerlo
Acccinado	acccinado	acccinado
Acedarſe	acedarse	acedarse
Acedarſe la leche	acedarse la leche	acedarse
Aceda leche	aceda leche	aceda
Acefalo	acefalo	acefalo
Aceitero	aceitero	aceitero
Aceitero	aceitero	aceitero
Aceituno	aceituno	aceituno
Acelerar	acelerar	acelerar
Acelerado	acelerado	acelerado
Aceleracion	aceleracion	aceleracion
Aceleradamente	aceleradamente	aceleradamente
Aceleradamente con demaſia	aceleradamente con demasia	aceleradamente
Acemilero	acemilero	acemilero
Acendrador	acendrador	acendrador
Acenoria	acenoria	acenoria
Acento en lo hablado	acento en lo hablado	acento
Acento en lo eſcrito	acento en lo escrito	acento
Acento agudo	acento agudo	acento
Acento grave	acento grave	acento
Acento circumflexo	acento circumflexo	acento
Acentuar en lo hablado	acentuar en lo hablado	acentuar
Acentuar en lo eſcrito	acentuar en lo escrito	acentuar
Acentuar de una manera	acentuar de una manera	acentuar
Acentuado	acentuado	acentuado
Aceñas	aceñas	aceñas
Aceñero	aceñero	aceñero
Acepillador	acepillador	acepillador
Acepilladuras	acepilladuras	acepilladuras
Hazerſe acepto	hazerse acepto	hazerse
Acequia	acequia	acequia
Acequia madre	acequia madre	acequia
Acerador	acerador	acerador
Acerola	acerola	acerola
Acerrime	acerrime	acerrime
Acertable aſsi	acertable asi	acertable
Lo mas acertado ſerà	lo mas acertado sera	lo
Tiene grandes aciertos con los enfer-	tiene grandes aciertos con los enfer-	tiene
Achnacar	achnacar	achnacar
Etar de achaque las mugeres	etar de achaque las mugeres	etar
Acnaques aſsi	acnaques asi	acnaques
Achicador	achicador	achicador
Achicharrador	achicharrador	achicharrador
Achocarſe	achocarse	achocarse
Achocharſe	achocharse	achocharse
Achochado	achochado	achochado
Eſtos modos de explicacion ſe hazen	estos modos de explicacion se hazen	estos
Acidente acidental veaſe	acidente acidental vease	acidente
Acinado	acinado	acinado
Acipeſtre	acipestre	acipestre
Aclararſe	aclararse	aclararse
Acozear	acozear	acozear
Acozeado	acozeado	acozeado
Acozeador	acozeador	acozeador
Acozeamiento	acozeamiento	acozeamiento
Acocotado	acocotado	acocotado
Acodadas aſsi	acodadas asi	acodadas
Acodarſe	acodarse	acodarse
Acegedor	acegedor	acegedor
Acogera	acogera	acogera
Acombado	acombado	acombado
Acombadura	acombadura	acombadura
Acombarſe	acombarse	acombarse
Acometiòle con vn palo	acometiole con vn palo	acometiole
Lo que puede aſsi acomodarſe	lo que puede asi acomodarse	lo
Acompañòle haſta ſu caſa	acompañole hasta su casa	acompañole
Acompañarſe	acompañarse	acompañarse
Acompaiamiento grande	acompaiamiento grande	acompaiamiento
Acondicionar	acondicionar	acondicionar
Aconſejarſe	aconsejarse	aconsejarse
Acordador	acordador	acordador
Acordarſe	acordarse	acordarse
Acordes vozes	acordes vozes	acordes
Acorneado	acorneado	acorneado
Age in cohortem vaccas iſtas	age in cohortem vaccas istas	age
Acorrucado	acorrucado	acorrucado
Acorrucamiento	acorrucamiento	acorrucamiento
Acorrucado aſsi	acorrucado asi	acorrucado
Acortador	acortador	acortador
Acorvarſe	acorvarse	acorvarse
Imperat	imperat	imperat
Dize	dize	dize
Dezia	dezia	dezia
Acoſtumbrarſemas	acostumbrarsemas	acostumbrarsemas
Acovardar	acovardar	acovardar
Acrecentarſe	acrecentarse	acrecentarse
Elque llena aſsi de acrimonia	elque llena asi de acrimonia	elque
Acrimoia	acrimoia	acrimoia
Acronyeto	acronyeto	acronyeto
Actomayor	actomayor	actomayor
Actuahmente eſtaba hablando	actuahmente estaba hablando	actuahmente
Tomarlo à cueſtas	tomarlo a cuestas	tomarlo
Acull	acull	acull
Acurrucarſe	acurrucarse	acurrucarse
Acuſome de todos mis pecados	acusome de todos mis pecados	acusome
Adelantador	adelantador	adelantador
Attenuatus	attenuatus	attenuatus
Adelgazador	adelgazador	adelgazador
Adelgazamiento	adelgazamiento	adelgazamiento
Attenuari	attenuari	attenuari
Ademiàs de ſer bobo	ademias de ser bobo	ademias
Adde quod peſsimè audiet	adde quod pesime audiet	adde
Aderezada aſsi	aderezada asi	aderezada
Aderezador	aderezador	aderezador
Aderezador en la comida	aderezador en la comida	aderezador
Adherirſe à mìl	adherirse a mil	adherirse
Adherirſe à tì	adherirse a ti	adherirse
Adherirſe à noſotros	adherirse a nosotros	adherirse
Adherirſe à voſotros	adherirse a vosotros	adherirse
Adherirſe a aquellos	adherirse a aquellos	adherirse
Adherido à èl	adherido a el	adherido
Adherentes	adherentes	adherentes
Adinerarſe	adinerarse	adinerarse
Adinerado	adinerado	adinerado
Adjunto	adjunto	adjunto
Adminiſtrarle los Sacramentos	administrarle los sacramentos	administrarle
Admirador	admirador	admirador
Adoleeercia	adoleeercia	adoleeercia
Adonde?	adonde?	adonde?
Adoratorios	adoratorios	adoratorios
Adornador	adornador	adornador
Adornable	adornable	adornable
Adornarſe	adornarse	adornarse
Adozenas	adozenas	adozenas
Adozenarſe	adozenarse	adozenarse
Adozenado	adozenado	adozenado
Adquirible	adquirible	adquirible
Aduares de los Moros	aduares de los moros	aduares
Aderſario	adersario	adersario
Affabilis	affabilis	affabilis
Hazerſe afable	hazerse afable	hazerse
Hazerſe mas afable	hazerse mas afable	hazerse
Afamar	afamar	afamar
Afamador	afamador	afamador
Afe	afe	afe
Atectuoſamente	atectuosamente	atectuosamente
Afeites	afeites	afeites
Afeminarſe	afeminarse	afeminarse
Afeminadamente	afeminadamente	afeminadamente
Atermoſear	atermosear	atermosear
Aferramiento	aferramiento	aferramiento
Afervorizarſe	afervorizarse	afervorizarse
Afianzador	afianzador	afianzador
Aſicionado	asicionado	asicionado
Aſfilado	asfilado	asfilado
Afilador	afilador	afilador
Afines aſsi	afines asi	afines
Afiſtolarſe	afistolarse	afistolarse
Afiſtolada llaga	afistolada llaga	afistolada
Afſigido	afsigido	afsigido
Afligirſe	afligirse	afligirse
Afloxado	afloxado	afloxado
Ailuencia	ailuencia	ailuencia
Aſortunado demaſiado	asortunado demasiado	asortunado
Aſrentado mas	asrentado mas	asrentado
Afrentador	afrentador	afrentador
Afrentoſa coſa	afrentosa cosa	afrentosa
Agachar	agachar	agachar
Agalanar	agalanar	agalanar
Agallas en la garganta	agallas en la garganta	agallas
Agallas de peſcado	agallas de pescado	agallas
Agarbarſe	agarbarse	agarbarse
Arreptus	arreptus	arreptus
Arreptor	arreptor	arreptor
Agarrochador	agarrochador	agarrochador
Agaſajòme muy mucho	agasajome muy mucho	agasajome
Agavillaraſsi	agavillarasi	agavillarasi
Agavillarſe	agavillarse	agavillarse
Agena coſa	agena cosa	agena
Agilitarſe	agilitarse	agilitarse
Hazerſe mas agil	hazerse mas agil	hazerse
Hazerſe demaſiadamente agil	hazerse demasiadamente agil	hazerse
Agitides	agitides	agitides
Parientes por agnacion	parientes por agnacion	parientes
Agnus	agnus	agnus
Agobiarſe	agobiarse	agobiarse
Agoſtarſe los campos	agostarse los campos	agostarse
Agraciadamente	agraciadamente	agraciadamente
Agradablemente	agradablemente	agradablemente
Decimos con elegancia	decimos con elegancia	decimos
Agradecelo à Dios	agradecelo a dios	agradecelo
Agrazes	agrazes	agrazes
Eſtàn en agraz las vbas	estan en agraz las vbas	estan
Hazerſe agrio	hazerse agrio	hazerse
Aguardiente	aguardiente	aguardiente
Aguadañar	aguadañar	aguadañar
Aguañador	aguañador	aguañador
Aguarda	aguarda	aguarda
AJguijador	ajguijador	ajguijador
Aguinalto	aguinalto	aguinalto
Aginaldo	aginaldo	aginaldo
Agujia	agujia	agujia
Acus nautica	acus nautica	acus
Agu erado	agu erado	agu
Agujerador	agujerador	agujerador
Aguſanarie	agusanarie	agusanarie
Aguſanado	agusanado	agusanado
Agnzanieve	agnzanieve	agnzanieve
Agzar	agzar	agzar
Acutus	acutus	acutus
Ah! interjecion	ah! interjecion	ah!
Ameleado	ameleado	ameleado
Aherroar	aherroar	aherroar
Aherrojao	aherrojao	aherrojao
Aherrumrado	aherrumrado	aherrumrado
Aerrumbrarſe	aerrumbrarse	aerrumbrarse
Ahado	ahado	ahado
Aceſco	acesco	acesco
Ahozinarſe	ahozinarse	ahozinarse
Ahiozinarſe aſsi	ahiozinarse asi	ahiozinarse
Ahozinado	ahozinado	ahozinado
Ahogador	ahogador	ahogador
Ahornadoaſsi	ahornadoasi	ahornadoasi
Ahorramiento aſsi la accion de hazer	ahorramiento asi la accion de hazer	ahorramiento
Ahueco	ahueco	ahueco
Aires	aires	aires
Llevarle à vno el aire	llevarle a vno el aire	llevarle
Ajarle à vno lu vanidad	ajarle a vno lu vanidad	ajarle
Muy ajado eſti	muy ajado esti	muy
Vna cabeza de ajo	vna cabeza de ajo	vna
Vn diente de ajo	vn diente de ajo	vn
Puede venir del Baſcuence	puede venir del bascuence	puede
Ajongera	ajongera	ajongera
Ajnſtado à la razon	ajnstado a la razon	ajnstado
Atjuſtadamente	atjustadamente	atjustadamente
Alabeces	alabeces	alabeces
Aladares	aladares	aladares
Viene del Baſcuence	viene del bascuence	viene
Alagar	alagar	alagar
Alagar mas	alagar mas	alagar
Alagado mas	alagado mas	alagado
Alagador	alagador	alagador
Alago	alago	alago
Alagueño	alagueño	alagueño
Alajado	alajado	alajado
Alajſi	alajsi	alajsi
Alajuela	alajuela	alajuela
Aulambiue	aulambiue	aulambiue
Alanzeado	alanzeado	alanzeado
Hazer alarde	hazer alarde	hazer
Alargador	alargador	alargador
Alarifazgo	alarifazgo	alarifazgo
Aluimus luporum catulos	aluimus luporum catulos	aluimus
Puede venir de el Baſcuence	puede venir de el bascuence	puede
Albañleria	albañleria	albañleria
Abarran	abarran	abarran
Albendolo	albendolo	albendolo
Alberchico	alberchico	alberchico
Albergarſe	albergarse	albergarse
Albtorbola	albtorbola	albtorbola
Alborotarſe	alborotarse	alborotarse
Adborozar	adborozar	adborozar
Alborozarſe	alborozarse	alborozarse
Alcacer	alcacer	alcacer
Aſcalde de Hijosdalgo	ascalde de hijosdalgo	ascalde
Alcalcde mayor	alcalcde mayor	alcalcde
Alcanfor	alcanfor	alcanfor
Alcanforado	alcanforado	alcanforado
Alcndara	alcndara	alcndara
Quiera Dios que oregano ſea	quiera dios que oregano sea	quiera
Alcacuz	alcacuz	alcacuz
Aſcolla	ascolla	ascolla
Cenſuran algunos à Nebrija	censuran algunos a nebrija	censuran
Alſebraſtarſe	alsebrastarse	alsebrastarse
Aleguſte	aleguste	aleguste
Alelarſe	alelarse	alelarse
Hazerſe aleve	hazerse aleve	hazerse
Alfange	alfange	alfange
Alfondiga	alfondiga	alfondiga
Aſgeceria	asgeceria	asgeceria
Aſgodon	asgodon	asgodon
Alhacena	alhacena	alhacena
Alhoſigo	alhosigo	alhosigo
Alhucema	alhucema	alhucema
Aliarſe	aliarse	aliarse
Adienacion	adienacion	adienacion
Aligerer mas	aligerer mas	aligerer
Alindalo	alindalo	alindalo
Aliñ o	aliñ o	aliñ
Aliſador	alisador	alisador
Aliiar mas	aliiar mas	aliiar
Aliſo	aliso	aliso
Alizaze	alizaze	alizaze
Allxali	allxali	allxali
Alxali	alxali	alxali
Allalengi	allalengi	allalengi
All	all	all
All ir	all ir	all
Allanador	allanador	allanador
Almadana	almadana	almadana
Aladraque	aladraque	aladraque
Almadreas	almadreas	almadreas
Almagacen	almagacen	almagacen
Almagre	almagre	almagre
Almaiar	almaiar	almaiar
Almanal	almanal	almanal
Almanguena	almanguena	almanguena
Aſmarjo	asmarjo	asmarjo
Almarraja	almarraja	almarraja
Almeir	almeir	almeir
Almeudruco lo miſmo que	almeudruco lo mismo que	almeudruco
Admiranta	admiranta	admiranta
Almirantazgo	almirantazgo	almirantazgo
Almoſia	almosia	almosia
Almograves	almograves	almograves
Almonazador	almonazador	almonazador
Almojbanas	almojbanas	almojbanas
Almoronia	almoronia	almoronia
Almotazenazgo	almotazenazgo	almotazenazgo
Aloca da muger	aloca da muger	aloca
Aloja	aloja	aloja
Altibajos	altibajos	altibajos
Hazer alto	hazer alto	hazer
Aduſivo	adusivo	adusivo
Aluſtrador	alustrador	alustrador
Alverjal	alverjal	alverjal
Alyſal	alysal	alysal
Amacha martillo	amacha martillo	amacha
Aagado	aagado	aagado
Aptare ſe ſe	aptare se se	aptare
Amaranto	amaranto	amaranto
Amargarſe	amargarse	amargarse
Aarillez	aarillez	aarillez
Aarrar	aarrar	aarrar
Amarrador	amarrador	amarrador
Amathiſte	amathiste	amathiste
Amendrentado	amendrentado	amendrentado
Aeſnar antiquado	aesnar antiquado	aesnar
Amiciſ mo	amicis mo	amicis
Amigatle	amigatle	amigatle
Amilaarſe	amilaarse	amilaarse
Hazerſe Amo	hazerse amo	hazerse
Amoneſtados aſsi	amonestados asi	amonestados
Amoneſtaciones	amonestaciones	amonestaciones
Amontonador	amontonador	amontonador
Amontonamſento	amontonamsento	amontonamsento
Amontones	amontones	amontones
Anmorbar	anmorbar	anmorbar
Anmorrar	anmorrar	anmorrar
Amortajador	amortajador	amortajador
Amrtecerſe	amrtecerse	amrtecerse
Apliteato	apliteato	apliteato
Amugeriegas	amugeriegas	amugeriegas
Amugronado	amugronado	amugronado
Anacoreta	anacoreta	anacoreta
Anacoretico	anacoretico	anacoretico
Anagrammatiſmo	anagrammatismo	anagrammatismo
Anatema	anatema	anatema
Hazer hazerſe ancho	hazer hazerse ancho	hazer
Hazerſe anciano	hazerse anciano	hazerse
Adar à ciegas	adar a ciegas	adar
Imperf	imperf	imperf
Imperat	imperat	imperat
Preſ	pres	pres
Imperf	imperf	imperf
Preſ	pres	pres
Imperf	imperf	imperf
Imperat	imperat	imperat
Imperf	imperf	imperf
Imperft	imperft	imperft
Indic preſ	indic pres	indic
Imperi	imperi	imperi
Preſ	pres	pres
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Suju nt	suju nt	suju
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Imper	imper	imper
Sujunt	sujunt	sujunt
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Imperf	imperf	imperf
Indic	indic	indic
Indic	indic	indic
Imperf	imperf	imperf
Imperat	imperat	imperat
Sujunt	sujunt	sujunt
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Imperf	imperf	imperf
Irregulares relativos	irregulares relativos	irregulares
Indic	indic	indic
Imperft	imperft	imperft
Imper	imper	imper
Sujunt	sujunt	sujunt
Hazeſe añadiendo entre la	hazese añadiendo entre la	hazese
Indic	indic	indic
Indic	indic	indic
Siendo muger: Darabilquiñat	siendo muger: darabilquiñat	siendo
Imperf	imperf	imperf
Hazeſe poniendo vna z entre la	hazese poniendo vna z entre la	hazese
Indic	indic	indic
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Otros irregulares tiene el verbo	otros irregulares tiene el verbo	otros
Indic	indic	indic
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Preſ	pres	pres
Imperf	imperf	imperf
Indic	indic	indic
Bolviendo al irreular de el verbo	bolviendo al irreular de el verbo	bolviendo
Indic	indic	indic
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Indc	indc	indc
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Ben andadfite	ben andadfite	ben
Cabaeros andates	cabaeros andates	cabaeros
Atndariego	atndariego	atndariego
Adrinar	adrinar	adrinar
Androminia	androminia	androminia
Anegdo	anegdo	anegdo
Anèmione	anemione	anemione
Angelito	angelito	angelito
Angelizarſe	angelizarse	angelizarse
Angelizado	angelizado	angelizado
Anhelado	anhelado	anhelado
Anocne	anocne	anocne
Anxietas	anxietas	anxietas
Antañana	antañana	antañana
Ante-lgleſia	ante-lglesia	ante-lglesia
Antroepoloegia	antroepoloegia	antroepoloegia
Accelero	accelero	accelero
Añadeſe à eſte mal otro mayor	añadese a este mal otro mayor	añadese
Añadeſe à eſto	añadese a esto	añadese
Añalmente	añalmente	añalmente
Hazer à vno mil añicos	hazer a vno mil añicos	hazer
Ail	ail	ail
Añio cliraterico	añio cliraterico	añio
Cabode añor	cabode añor	cabode
Malaño para ti	malaño para ti	malaño
Aublar	aublar	aublar
Aliquid palato	aliquid palato	aliquid
Aorza	aorza	aorza
Eſtà poniendo el huevro	esta poniendo el huevro	esta
Apalabrados eſtan	apalabrados estan	apalabrados
Apareados	apareados	apareados
Aparroquiarſe	aparroquiarse	aparroquiarse
Ba	ba	ba
Apartate de ahì	apartate de ahi	apartate
Alijs in icd non intentis diſcere	alijs in icd non intentis discere	alijs
Apearle à vno	apearle a vno	apearle
Apechugado	apechugado	apechugado
Apellidarſe	apellidarse	apellidarse
Apelmadazo	apelmadazo	apelmadazo
Apendize	apendize	apendize
Apercibimienro	apercibimienro	apercibimienro
Apercibimiento	apercibimiento	apercibimiento
Aperrearſe	aperrearse	aperrearse
Apeſadumbrarſe	apesadumbrarse	apesadumbrarse
Apeſararſe	apesararse	apesararse
Eſto apeſta	esto apesta	esto
Apetece las honras	apetece las honras	apetece
Apilarlas	apilarlas	apilarlas
Apiolador	apiolador	apiolador
Aplaudjir	aplaudjir	aplaudjir
Apolilla dura	apolilla dura	apolilla
Apoſentarſe	aposentarse	aposentarse
Puede apoſtarſelas à qualquiera	puede apostarselas a qualquiera	puede
Rebentar	rebentar	rebentar
Apreeio	apreeio	apreeio
Aprelender	aprelender	aprelender
Aprenſar: es de el Baſcuence	aprensar: es de el bascuence	aprensar:
Aqpreſado	aqpresado	aqpresado
Apropriatmelo yo	apropriatmelo yo	apropriatmelo
Apropriartelo tu	apropriartelo tu	apropriartelo
Apropriarſelo aquèl	apropriarselo aquel	apropriarselo
Apropriarnoslo noſotros	apropriarnoslo nosotros	apropriarnoslo
Apropriaroslo voſotros	apropriaroslo vosotros	apropriaroslo
Apropriarſelo aquellos	apropriarselo aquellos	apropriarselo
Apuntarà los que dizen algo de memoria	apuntara los que dizen algo de memoria	apuntara
Apuntarme à mì	apuntarme a mi	apuntarme
Apuntarte à tì	apuntarte a ti	apuntarte
Apuntarle à èl	apuntarle a el	apuntarle
Apuntarnos à noſotros	apuntarnos a nosotros	apuntarnos
Apuntaros à voſotros	apuntaros a vosotros	apuntaros
Apuntarlos à ellos	apuntarlos a ellos	apuntarlos
Apurarle a vno	apurarle a vno	apurarle
Apuero dezirle	apuero dezirle	apuero
Aquexar	aquexar	aquexar
Aquello que	aquello que	aquello
Ven aquì	ven aqui	ven
Arapo	arapo	arapo
Ararconel	ararconel	ararconel
Arbitrado aſsi	arbitrado asi	arbitrado
Arbolbola	arbolbola	arbolbola
Arcauceria	arcauceria	arcauceria
Arctofilax	arctofilax	arctofilax
Ardia	ardia	ardia
Ardieron los montes	ardieron los montes	ardieron
Indic	indic	indic
Imperf	imperf	imperf
Sujunt	sujunt	sujunt
Preſ	pres	pres
Imperf	imperf	imperf
Arduanmente	arduanmente	arduanmente
Argamandixo	argamandixo	argamandixo
Argomal	argomal	argomal
Ariſtrocacia	aristrocacia	aristrocacia
Arlote	arlote	arlote
Cegoquidan	cegoquidan	cegoquidan
Siendo plural lo que arma	siendo plural lo que arma	siendo
Arnero	arnero	arnero
Ariae	ariae	ariae
Arqueria	arqueria	arqueria
Arrabiado	arrabiado	arrabiado
Arralar	arralar	arralar
Arrancapinos	arrancapinos	arrancapinos
Arrebañado	arrebañado	arrebañado
Arrebañador	arrebañador	arrebañador
Arrebolada nube	arrebolada nube	arrebolada
Arrebozarfe con la capa	arrebozarfe con la capa	arrebozarfe
Arregladamente	arregladamente	arregladamente
Arremolinarſe	arremolinarse	arremolinarse
Arreos de qualquiera otra coſa	arreos de qualquiera otra cosa	arreos
Arreitado	arreitado	arreitado
Arroado aſsi	arroado asi	arroado
Arrodear	arrodear	arrodear
Arromadizarſe	arromadizarse	arromadizarse
Arroſtrado	arrostrado	arrostrado
Arrugarie	arrugarie	arrugarie
Eſtà trabajado con grande arte	esta trabajado con grande arte	esta
Arteſones en el techo	artesones en el techo	artesones
Arze	arze	arze
Arzoiipo	arzoiipo	arzoiipo
Hazerſe aſcua	hazerse ascua	hazerse
Aear	aear	aear
Aobarcar	aobarcar	aobarcar
Hazerſe aſpero	hazerse aspero	hazerse
Aſiracion	asiracion	asiracion
Aſſalariar	asalariar	asalariar
Aſſedar el cañamo	asedar el cañamo	asedar
Veanſe en el verbo	veanse en el verbo	veanse
Aſſeſſado	asesado	asesado
Aſsi? de eſſa ſuerte?	asi? de esa suerte?	asi?
Lo miſmo es aſsi	lo mismo es asi	lo
Aſsimiſmo	asimismo	asimismo
Hazer aſsi aſsiento	hazer asi asiento	hazer
Lo que aſsi ha hecho aſsiento	lo que asi ha hecho asiento	lo
Hobre de aſsiento	hobre de asiento	hobre
Hazerſe vn hombre de aſsiento	hazerse vn hombre de asiento	hazerse
Aſſomadita	asomadita	asomadita
Aſſordado	asordado	asordado
Aſſuſtarſe	asustarse	asustarse
Aſteriſm	asterism	asterism
Hazerſe aſtuto	hazerse astuto	hazerse
Aſilo	asilo	asilo
Vno muere de atafea	vno muere de atafea	vno
Ataques de vn ſitio de plaza	ataques de vn sitio de plaza	ataques
Es vn loco de atar	es vn loco de atar	es
Atarazaſo aſsi	atarazaso asi	atarazaso
Mis atenciones à fulano	mis atenciones a fulano	mis
Hazenſe las oraciones de eſtos dos ver-	hazense las oraciones de estos dos ver-	hazense
Muy atendido	muy atendido	muy
Hazenſe con los irregularesnacheca	hazense con los irregularesnacheca	hazense
Atengome à eſſo	atengome a eso	atengome
Aterir	aterir	aterir
Ateſado	atesado	atesado
Atiendas	atiendas	atiendas
Atizado	atizado	atizado
Atmosfera	atmosfera	atmosfera
Atontas	atontas	atontas
Atrabancado	atrabancado	atrabancado
Atrabilis	atrabilis	atrabilis
At agantar	at agantar	at
Hàzia atràs	hazia atras	hazia
Muy atràs	muy atras	muy
Atribularſe	atribularse	atribularse
Atributos de Dios	atributos de dios	atributos
Hazerſe atrito	hazerse atrito	hazerse
Au	au	au
Auſentado	ausentado	ausentado
Authenticas	authenticas	authenticas
Authoritate publica comprobare	authoritate publica comprobare	authoritate
Authenticado	authenticado	authenticado
Avarus	avarus	avarus
Es vna ave fria eſte hombre	es vna ave fria este hombre	es
Aventalo	aventalo	aventalo
Avidos	avidos	avidos
Avìa vn año	avia vn año	avia
Avergonado	avergonado	avergonado
Eſta abiſpado	esta abispado	esta
Avitua llado	avitua llado	avitua
Avuela	avuela	avuela
Conayuda de vezinos	conayuda de vezinos	conayuda
Ayudanos	ayudanos	ayudanos
Azabra	azabra	azabra
Azaya	azaya	azaya
Vna buelta de azotes	vna buelta de azotes	vna
Azua	azua	azua
IMH	imh	imh
Babas mayores	babas mayores	babas
Baboſeado	baboseado	baboseado
Lo que ſe dexa aſsi baboſeado	lo que se dexa asi baboseado	lo
Comerè	comere	comere
Bachanales	bachanales	bachanales
Es vn badulaque	es vn badulaque	es
Banorrina	banorrina	banorrina
Bahuna gente	bahuna gente	bahuna
Baja	baja	baja
Bajar	bajar	bajar
Ba la	ba la	ba
Balancſa	balancsa	balancsa
Barauſtrillo	baraustrillo	baraustrillo
Haerſe balbuciente	haerse balbuciente	haerse
Inertia	inertia	inertia
Lo que ſe trabaja en balde	lo que se trabaja en balde	lo
Lo magro curado de ballena	lo magro curado de ballena	lo
Ballenero navio	ballenero navio	ballenero
AÆqueſtris milſitiæ balteus	aaequestris milsitiae balteus	aaequestris
Banduxo	banduxo	banduxo
Bañiado aſsi	bañiado asi	bañiado
Bañarſ e	bañars e	bañars
Eaptizo	eaptizo	eaptizo
Bara	bara	bara
